id	ATC	Laboratorio	Forma	Nombre local	País	generic_name	Vía	commercial_name	presentation
1	N05AH02	['HLB PHARMA GROUP S.A.']	['comprimido']	CLOZAPINA LEMAX 100 mg Comp.	['Argentina']	Clozapina	['oral']	CLOZAPINA LEMAX	100 mg Comp.
2	N07AA01	['DRAWER S.A.']	['solución inyectable']	NEOSTIGMINA DRAWER 0,5 mg/1 ml Sol. iny.	['Argentina']	Neostigmina	['intramuscular']	NEOSTIGMINA DRAWER	0,5 mg/1 ml Sol. iny.
3	B02BD02	['TAKEDA ARGENTINA SOCIEDAD ANONIMA']	['polvo y disolvente para solución inyectable']	ADVATE 500 UI Polvo y disolv. para sol. iny.	['Argentina']	Factor de coagulación VIII	['intravenosa']	ADVATE	500 UI Polvo y disolv. para sol. iny.
4	J05AF13	['GADOR S.A.']	['comprimido recubierto']	VEMLIDY 25 mg Comp. recub.	['Argentina']	Tenofovir alafenamida	['oral']	VEMLIDY	25 mg Comp. recub.
5	J01FA10	['DR LAZAR Y CIA. S.A. QUIMICA E INDUSTRIAL']	['comprimido recubierto']	NEBLIC 500 mg Comp. recub.	['Argentina']	Azitromicina	['oral']	NEBLIC	500 mg Comp. recub.
6	N02BF02	['QUIMICA ARISTON S.A.I.C.I.F.']	['comprimido']	PREBIEN DIVIDOSIS 75 mg Comp.	['Argentina']	Pregabalina	['oral']	PREBIEN DIVIDOSIS	75 mg Comp.
7	N03AX14	['LABORATORIOS BETA S.A.']	['comprimido recubierto']	LEPTAM 500 mg Comp. recub.	['Argentina']	Levetiracetam	['oral']	LEPTAM	500 mg Comp. recub.
8	N06BA04	['NOVARTIS ARGENTINA S.A.']	['cápsula dura de liberación modificada']	RITALINA LA 20 mg Cáps. LM	['Argentina']	Metilfenidato	['oral']	RITALINA LA	20 mg Cáps. LM
9	N03AB52	['LABORATORIOS BETA S.A.']	['comprimido']	LOTOQUIS 5 100 mg/50 mg Comp.	['Argentina']	Fenitoína, asociaciones	['oral']	LOTOQUIS	5 100 mg/50 mg Comp.
10	A11EX	['MEGALABS ARGENTINA S.A.U']	['comprimido recubierto']	TANVIMIL AMINOACIDOS Comp. recub.	['Argentina']	Vitaminas del complejo B, otras combinaciones	['oral']	TANVIMIL AMINOACIDOS	Comp. recub.
11	R01AA08	['SAVANT PHARM S.A.']	['gotas nasales en solución']	FABOZOLINA 100 mg/100 ml Gotas nasales en sol.	['Argentina']	Nafazolina nasal	['nasal']	FABOZOLINA	100 mg/100 ml Gotas nasales en sol.
